word,freq
evil,44
bet,44
told,44
questions,44
send,43
game,43
gonna,43
hates,43
couldnt,43
full,43
prayers,43
forgot,43
position,43
nobody,42
turn,42
deserve,42
alone,42
action,42
list,42
trust,42
interference,42
obviously,42
jealous,42
fight,42
showing,42
blaming,42
funerals,41
seem,41
shot,41
business,41
taxes,41
resist,41
leadership,41
front,41
telling,41
seems,41
reality,41
brain,40
together,40
projecting,40
saw,40
account,40
majority,40
definitely,40
longer,40
petty,40
helped,40
though,40
justice,40
crap,39
heres,39
americas,39
youd,39
term,39
hole,39
murdered,39
glad,39
huh,39
amazing,39
insecurities,39
listen,39
speaking,38
especially,38
honest,38
looks,38
indictments,38
check,38
burying,38
fraud,38
prove,38
deal,38
photo,37
taken,37
clearly,37
spending,37
asses,37
honoring,37
oprahs,37
young,37
thoughts,37
incompetent,37
worthless,37
delusional,37
weve,37
live,37
men,37
phone,37
dumbass,36
hurt,36
dollars,36
giving,36
leaders,36
literally,36
health,36
fun,36
evidence,36
cares,36
dear,36
living,36
gets,36
went,36
wishing,36
likes,36
exactly,36
chance,36
perfect,36
liddle,36
fix,36
wanted,36
sounds,36
daca,36
follow,35
enforce,35
ago,35
porn,35
came,35
doubt,35
military,35
holiday,35
personal,35
impose,35
shooter,35
fit,35
successful,35
failure,35
indictment,35
lose,35
interview,35
stay,35
george,34
case,34
different,34
buried,34
wtf,34
started,34
proof,34
dignity,34
btw,34
insane,34
half,34
cause,34
shouldnt,34
traitortrump,34
lincoln,33
putting,33
question,33
supposed,33
bullshit,33
total,33
son,33
cheating,33
sexual,33
passed,33
admit,33
former,33
bone,33
correct,33
actions,33
etc,33
hand,33
russias,33
wall,33
heart,33
serious,33
heard,33
waiting,32
starr,32
open,32
mention,32
crime,32
died,32
innocent,32
bullying,32
praying,32
chief,32
happening,32
number,32
wants,32
star,32
failed,32
certainly,32
social,32
spent,31
hopefully,31
crimes,31
known,31
narcissist,31
usual,31
favor,31
kill,31
base,31
voting,31
fear,31
mess,31
goes,31
shitty,31
omg,31
totally,31
book,31
deep,31
learn,31
tried,31
almost,31
crooked,31
unfit,31
ridiculous,31
forever,31
morning,31
held,30
charge,30
worried,30
group,30
second,30
shithole,30
pres,30
jesus,30
defeat,30
unlike,30
liberals,30
legislation,30
resignnow,30
waste,30
thumbs,30
issue,30
worth,30
responsibility,30
stormy,30
write,30
discord,30
brought,30
busy,30
problems,30
friend,29
loving,29
constantly,29
threat,29
obamas,29
stain,29
previous,29
short,29
buffoon,29
asked,29
attacks,29
hair,29
wake,29
close,29
ken,28
move,28
indicted,28
bit,28
tweeted,28
easy,28
bigger,28
prevent,28
thinks,28
destroy,28
step,28
clear,28
melania,28
insult,28
reading,28
putinspuppet,28
powerful,28
swamp,28
illegitimatepresident,28
ignore,28
lmao,28
stuff,28
planet,28
federal,28
awful,28
legacy,28
behavior,28
dirty,27
gave,27
dare,27
keeping,27
names,27
paid,27
along,27
post,27
refuse,27
blah,27
loved,27
obvious,27
feeling,27
deflect,27
goal,27
laundering,27
useless,27
aint,27
lady,27
empathy,27
immature,27
negative,27
completely,27
stole,27
gates,27
shed,27
paying,27
sign,27
allowed,27
currently,27
gotten,27
level,27
defend,26
buddy,26
top,26
ran,26
selfish,26
beautiful,26
garbage,26
implement,26
home,26
colluded,26
plan,26
ppl,26
yep,26
story,26
background,26
huge,26
integrity,26
common,26
mistake,26
king,26
winning,26
fine,25
picture,25
became,25
indeed,25
enemy,25
agenda,25
allow,25
propaganda,25
body,25
violence,25
stupidity,25
cuts,25
answer,25
anymore,25
politics,25
birthday,25
fault,25
set,25
order,25
system,25
richer,25
lazy,25
beyond,25
staff,25
followers,25
fired,25
ugly,25
okay,25
works,25
kidding,25
wearing,25
comment,25
release,25
fighting,25
seeing,24
including,24
blocked,24
screw,24
bots,24
possible,24
thankful,24
worthy,24
peoples,24
projection,24
service,24
explain,24
cheated,24
whining,24
besides,24
blessed,24
cut,24
killing,24
bunch,24
war,24
happypresidentsday,24
soul,24
voters,24
fingers,24
nixon,24
due,24
team,24
reform,24
electoral,24
father,24
listening,24
bought,24
crying,24
meet,24
barackobama,24
threatened,23
example,23
opinion,23
comments,23
despicable,23
compassion,23
night,23
butt,23
ended,23
bald,23
wrote,23
needed,23
desperate,23
corruption,23
ignorance,23
handle,23
teachers,23
trumprussiacollusion,23
rid,23
enforcement,23
smarter,23
light,23
created,23
ban,23
appreciate,23
respected,23
college,23
careful,23
lock,23
tired,23
signed,22
removed,22
fall,22
amendment,22
gives,22
adult,22
cared,22
liberal,22
guncontrolnow,22
bag,22
race,22
hilarious,22
somebody,22
ashamed,22
months,22
however,22
takes,22
laugh,22
protecting,22
executive,22
kick,22
racism,22
earned,22
haha,22
definition,22
response,22
positive,22
count,22
massacre,22
bottom,22
alright,22
investigating,22
expose,22
side,22
theresistance,22
met,22
lord,22
worked,22
marchforourlives,22
dog,21
sack,21
returns,21
asking,21
missed,21
comrade,21
elect,21
pig,21
imagine,21
decent,21
john,21
gunreformnow,21
sociopath,21
statement,21
named,21
agents,21
success,21
liarinchief,21
trolls,21
ways,21
vile,21
caught,21
daddy,21
grammar,21
absolute,21
age,21
hide,21
hahahaha,21
pick,21
books,21
chaos,21
lockhimup,21
helping,21
clintons,21
difference,21
favorite,21
knowing,21
balls,21
aware,21
mcmaster,21
whatever,21
irony,21
jerk,20
represent,20
hahaha,20
senate,20
illegal,20
qualified,20
consider,20
moronic,20
attacked,20
pound,20
worrying,20
resignation,20
illness,20
shall,20
cover,20
cheat,20
capable,20
members,20
hoax,20
minute,20
fucked,20
happens,20
hoping,20
pence,20
unless,20
hours,20
concerned,20
ratings,20
everybody,20
changed,20
middle,20
muellerindictments,20
involved,20
hateful,20
several,20
investigate,20
quite,19
divide,19
role,19
moment,19
damage,19
ahead,19
protest,19
grade,19
clean,19
bigly,19
uneducated,19
insults,19
shitholepresident,19
mad,19
matters,19
embarrassed,19
citizen,19
fire,19
general,19
remembered,19
spurs,19
unfortunately,19
eating,19
constitution,19
three,19
responsible,19
voice,19
signs,19
obstruction,19
disaster,19
twat,19
sent,19
speech,19
pot,19
record,18
tick,18
resigning,18
figure,18
caused,18
within,18
expect,18
hated,18
dying,18
straight,18
penis,18
narcissism,18
sold,18
crook,18
onto,18
earth,18
failing,18
ground,18
becoming,18
freaking,18
line,18
suggest,18
death,18
character,18
plus,18
cadet,18
winner,18
pussy,18
horrific,18
title,18
ready,18
piss,18
dictator,18
type,18
manafort,18
belong,18
prez,18
douche,18
sex,18
criminals,18
owned,18
loves,18
november,18
lil,18
schiff,18
meddled,18
meeting,18
serve,18
meaning,18
standing,18
acts,17
destroying,17
humanity,17
missing,17
stars,17
accept,17
door,17
individual,17
zero,17
safety,17
notmypresidentsday,17
